,word,frequency,per_million,doc_freq,doc_percentage
722,conventional,34,11.91611893,32,0.38619358
723,outgoing,34,11.91611893,31,0.37412503
724,communist,34,11.91611893,29,0.34998793100000003
725,soviet,34,11.91611893,30,0.36205648100000004
726,radioactive,34,11.91611893,23,0.277576635
728,pure,33,11.56564485,33,0.39826212899999996
730,fierce,33,11.56564485,33,0.39826212899999996
731,advisory,33,11.56564485,28,0.33791938200000005
733,eighth,33,11.56564485,33,0.39826212899999996
734,timely,33,11.56564485,27,0.325850833
735,workplace,33,11.56564485,26,0.313782283
736,herd,33,11.56564485,25,0.301713734
737,chronic,33,11.56564485,28,0.33791938200000005
738,notorious,33,11.56564485,32,0.38619358
739,gradual,33,11.56564485,32,0.38619358
741,danish,33,11.56564485,14,0.16895969100000002
742,hebrew,33,11.56564485,18,0.217233888
743,mega,32,11.21517076,27,0.325850833
744,grave,32,11.21517076,30,0.36205648100000004
747,partial,32,11.21517076,28,0.33791938200000005
748,frozen,32,11.21517076,26,0.313782283
749,rival,32,11.21517076,31,0.37412503
753,deliberate,32,11.21517076,29,0.34998793100000003
754,interior,32,11.21517076,30,0.36205648100000004
756,fossil,32,11.21517076,24,0.289645185
757,countless,31,10.86469668,30,0.36205648100000004
760,relentless,31,10.86469668,29,0.34998793100000003
762,pierre,31,10.86469668,27,0.325850833
763,precious,31,10.86469668,28,0.33791938200000005
764,seasonal,31,10.86469668,29,0.34998793100000003
765,round,31,10.86469668,31,0.37412503
767,substantial,31,10.86469668,29,0.34998793100000003
768,dual,31,10.86469668,24,0.289645185
769,tactical,31,10.86469668,28,0.33791938200000005
770,blind,31,10.86469668,24,0.289645185
771,bloody,31,10.86469668,31,0.37412503
773,border,31,10.86469668,28,0.33791938200000005
774,ninth,31,10.86469668,27,0.325850833
776,decisive,31,10.86469668,27,0.325850833
778,holocaust,31,10.86469668,15,0.18102824
779,heartbreaking,30,10.51422259,28,0.33791938200000005
781,excessive,30,10.51422259,30,0.36205648100000004
782,adverse,30,10.51422259,29,0.34998793100000003
783,disturbing,30,10.51422259,27,0.325850833
784,skeptical,30,10.51422259,29,0.34998793100000003
785,calgary,30,10.51422259,12,0.144822592
786,subsequent,30,10.51422259,29,0.34998793100000003
787,resistant,30,10.51422259,28,0.33791938200000005
788,frustrating,30,10.51422259,28,0.33791938200000005
789,prosperous,30,10.51422259,27,0.325850833
792,infected,30,10.51422259,30,0.36205648100000004
793,dedicated,30,10.51422259,29,0.34998793100000003
794,terrifying,29,10.1637485,27,0.325850833
795,extended,29,10.1637485,27,0.325850833
796,100th,29,10.1637485,26,0.313782283
798,suspicious,29,10.1637485,24,0.289645185
802,unauthorized,29,10.1637485,27,0.325850833
803,forensic,29,10.1637485,16,0.19309679
806,persistent,29,10.1637485,26,0.313782283
807,immense,29,10.1637485,29,0.34998793100000003
808,mutant,29,10.1637485,22,0.26550808600000003
809,incumbent,29,10.1637485,24,0.289645185
810,spiritual,29,10.1637485,25,0.301713734
811,lankan,29,10.1637485,12,0.144822592
812,constructive,29,10.1637485,29,0.34998793100000003
813,respective,29,10.1637485,29,0.34998793100000003
814,unaccounted,28,9.813274416,24,0.289645185
815,lead,28,9.813274416,23,0.277576635
816,lethal,28,9.813274416,25,0.301713734
818,encouraging,28,9.813274416,27,0.325850833
820,qualified,28,9.813274416,26,0.313782283
821,odd,28,9.813274416,26,0.313782283
822,radical,28,9.813274416,25,0.301713734
823,rental,28,9.813274416,16,0.19309679
824,inevitable,28,9.813274416,26,0.313782283
825,inaugural,28,9.813274416,20,0.24137098699999998
826,21st,28,9.813274416,27,0.325850833
828,deceased,28,9.813274416,24,0.289645185
829,transitional,28,9.813274416,18,0.217233888
