,word,frequency,per_million,doc_freq,doc_percentage
3853,morgue,13,4.556163121854934,9.0,0.10861694424330197
3854,reassurance,13,4.556163121854934,13.0,0.1568911416847695
3855,tab,13,4.556163121854934,11.0,0.13275404296403573
3857,insult,13,4.556163121854934,12.0,0.1448225923244026
3862,meme,13,4.556163121854934,6.0,0.0724112961622013
3865,wrong,13,4.556163121854934,12.0,0.1448225923244026
3867,register,13,4.556163121854934,10.0,0.12068549360366886
3872,freezing,13,4.556163121854934,12.0,0.1448225923244026
3873,diner,13,4.556163121854934,8.0,0.09654839488293508
3875,antonio,13,4.556163121854934,12.0,0.1448225923244026
3879,arctic,13,4.556163121854934,7.0,0.0844798455225682
3881,prime,13,4.556163121854934,13.0,0.1568911416847695
3882,guerrilla,13,4.556163121854934,12.0,0.1448225923244026
3883,nld,13,4.556163121854934,8.0,0.09654839488293508
3884,gem,13,4.556163121854934,11.0,0.13275404296403573
3885,booth,13,4.556163121854934,12.0,0.1448225923244026
3886,benin,13,4.556163121854934,11.0,0.13275404296403573
3887,mobilization,13,4.556163121854934,12.0,0.1448225923244026
3890,pashtun,13,4.556163121854934,6.0,0.0724112961622013
3891,preservation,13,4.556163121854934,11.0,0.13275404296403573
3893,adf,13,4.556163121854934,3.0,0.03620564808110065
3897,janine,13,4.556163121854934,8.0,0.09654839488293508
3899,malaysian,13,4.556163121854934,8.0,0.09654839488293508
3900,tonne,13,4.556163121854934,9.0,0.10861694424330197
3901,leap,13,4.556163121854934,13.0,0.1568911416847695
3904,ethiopian,13,4.556163121854934,9.0,0.10861694424330197
3905,tajikistan,13,4.556163121854934,9.0,0.10861694424330197
3907,collector,13,4.556163121854934,13.0,0.1568911416847695
3908,stall,13,4.556163121854934,11.0,0.13275404296403573
3910,herb,13,4.556163121854934,8.0,0.09654839488293508
3913,parliamentarian,13,4.556163121854934,13.0,0.1568911416847695
3915,observatory,13,4.556163121854934,11.0,0.13275404296403573
3919,minsk,13,4.556163121854934,13.0,0.1568911416847695
3921,tobacco,13,4.556163121854934,7.0,0.0844798455225682
3923,sikh,13,4.556163121854934,9.0,0.10861694424330197
3925,exodus,13,4.556163121854934,10.0,0.12068549360366886
3926,haugen,13,4.556163121854934,6.0,0.0724112961622013
3927,natanz,13,4.556163121854934,7.0,0.0844798455225682
3930,patio,13,4.556163121854934,12.0,0.1448225923244026
3933,alibaba,13,4.556163121854934,9.0,0.10861694424330197
3934,revision,13,4.556163121854934,13.0,0.1568911416847695
3935,ion,13,4.556163121854934,6.0,0.0724112961622013
3936,token,13,4.556163121854934,9.0,0.10861694424330197
3937,influenza,13,4.556163121854934,10.0,0.12068549360366886
3939,commencement,13,4.556163121854934,13.0,0.1568911416847695
3940,unveiling,13,4.556163121854934,10.0,0.12068549360366886
3944,importer,13,4.556163121854934,12.0,0.1448225923244026
3947,dump,13,4.556163121854934,9.0,0.10861694424330197
3949,menace,13,4.556163121854934,11.0,0.13275404296403573
3950,fat,13,4.556163121854934,12.0,0.1448225923244026
3954,cuisine,13,4.556163121854934,9.0,0.10861694424330197
3955,pme,13,4.556163121854934,4.0,0.04827419744146754
3956,coe,13,4.556163121854934,6.0,0.0724112961622013
3957,polytechnic,13,4.556163121854934,7.0,0.0844798455225682
3958,retiree,13,4.556163121854934,6.0,0.0724112961622013
3959,sahara,13,4.556163121854934,6.0,0.0724112961622013
3960,jordanian,13,4.556163121854934,8.0,0.09654839488293508
3964,inec,13,4.556163121854934,9.0,0.10861694424330197
3965,doyle,12,4.2056890355584,10.0,0.12068549360366886
3966,pedestrian,12,4.2056890355584,10.0,0.12068549360366886
3971,robert,12,4.2056890355584,8.0,0.09654839488293508
3972,pier,12,4.2056890355584,9.0,0.10861694424330197
3973,jeopardy,12,4.2056890355584,8.0,0.09654839488293508
3974,contingency,12,4.2056890355584,11.0,0.13275404296403573
3975,audio,12,4.2056890355584,12.0,0.1448225923244026
3976,ramp,12,4.2056890355584,12.0,0.1448225923244026
3980,hose,12,4.2056890355584,11.0,0.13275404296403573
3982,innocence,12,4.2056890355584,12.0,0.1448225923244026
3983,overdose,12,4.2056890355584,8.0,0.09654839488293508
3984,guru,12,4.2056890355584,8.0,0.09654839488293508
3985,freeze,12,4.2056890355584,11.0,0.13275404296403573
3986,vandalism,12,4.2056890355584,9.0,0.10861694424330197
3988,memo,12,4.2056890355584,10.0,0.12068549360366886
3989,buddy,12,4.2056890355584,11.0,0.13275404296403573
3994,pelosi,12,4.2056890355584,8.0,0.09654839488293508
3996,dispatcher,12,4.2056890355584,6.0,0.0724112961622013
3999,fountain,12,4.2056890355584,11.0,0.13275404296403573
4002,salute,12,4.2056890355584,9.0,0.10861694424330197
4007,badge,12,4.2056890355584,7.0,0.0844798455225682
4012,tulsa,12,4.2056890355584,5.0,0.060342746801834414
4015,streak,12,4.2056890355584,10.0,0.12068549360366886
4016,duo,12,4.2056890355584,12.0,0.1448225923244026
4018,poet,12,4.2056890355584,8.0,0.09654839488293508
4024,bribery,12,4.2056890355584,11.0,0.13275404296403573
4029,nod,12,4.2056890355584,10.0,0.12068549360366886
4034,diving,12,4.2056890355584,8.0,0.09654839488293508
4035,alec,12,4.2056890355584,8.0,0.09654839488293508
4037,physics,12,4.2056890355584,7.0,0.0844798455225682
4038,detainee,12,4.2056890355584,10.0,0.12068549360366886
4039,dead,12,4.2056890355584,12.0,0.1448225923244026
4042,assertion,12,4.2056890355584,12.0,0.1448225923244026
4043,timber,12,4.2056890355584,10.0,0.12068549360366886
4044,comedian,12,4.2056890355584,10.0,0.12068549360366886
4047,governing,12,4.2056890355584,11.0,0.13275404296403573
4048,tplf,12,4.2056890355584,6.0,0.0724112961622013
4049,hague,12,4.2056890355584,9.0,0.10861694424330197
4051,relevance,12,4.2056890355584,12.0,0.1448225923244026
4054,contagion,12,4.2056890355584,9.0,0.10861694424330197
4055,buenos,12,4.2056890355584,8.0,0.09654839488293508
4057,evasion,12,4.2056890355584,10.0,0.12068549360366886
4061,mafia,12,4.2056890355584,6.0,0.0724112961622013
4063,jcpoa,12,4.2056890355584,9.0,0.10861694424330197
4064,crematorium,12,4.2056890355584,6.0,0.0724112961622013
4065,sheikh,12,4.2056890355584,9.0,0.10861694424330197
4066,affiliation,12,4.2056890355584,12.0,0.1448225923244026
4068,hindu,12,4.2056890355584,10.0,0.12068549360366886
4070,clan,12,4.2056890355584,9.0,0.10861694424330197
4072,landfill,12,4.2056890355584,8.0,0.09654839488293508
4074,logo,12,4.2056890355584,11.0,0.13275404296403573
4075,repatriation,12,4.2056890355584,10.0,0.12068549360366886
4076,relaxation,12,4.2056890355584,11.0,0.13275404296403573
4077,cohort,12,4.2056890355584,10.0,0.12068549360366886
4078,deed,12,4.2056890355584,12.0,0.1448225923244026
4079,trophy,12,4.2056890355584,10.0,0.12068549360366886
4080,renewable,12,4.2056890355584,10.0,0.12068549360366886
